Narrowed Point	USED SAT	General Point	General Kp	General F10.7	Operation	Supports Hypothesis	Overall POSN	Horizontal Path	Vertical Path	Bx Crossing	CROSS DIFF	Outflow	T Models	Further Notes											
2001-08-15 09:09:38.000	1	2001-08-15T09:00:00.000				YES	Pretty Good		NTS	Early TSYG		HIN	Missing T01S												
2001-08-17 15:59:46.000	1	2001-08-17T16:00:00.000				IDK	Decent		NTS	EARLY TSYG		IDK	"Missing T89, T96, T01S"	"missing outflow, missing Bx models"											
2001-08-19 20:20:00.000	1	2001-08-19T20:30:00.000				IDK	Decent		NTS	EARLY TSYG	15 Minutes	HIS	Missing T01S	"missing outflow, missing Bx data, missing Bx models"											
2001-08-24 15:12:14.000	1	2001-08-24T15:30:00.000				IDK	Pretty Good		NTS	EARLY TSYG		HIS	Missing T01S	"missing outflow, missing Bx data, missing Bx models"											
2001-09-12 14:23:07.000	1	2001-09-12T14:30:00.000				IDK	EXCELLENT		NTS	EARLY TSYG	1 Hour	HIS	Missing T01S	"missing outflow, missing Bx data, missing Bx models"											
2001-09-21 05:10:55.000	1	2001-09-22T05:15:00.000				SKIP	"SKIP, DAYSIDE"																		
2001-09-24 10:42:00.000	1	2001-09-24T09:00:00.000				YES	Pretty Good		NTS	EARLY TSYG	1 Hour	HIN	Missing T01S	"missing outflow, missing Bx data, missing Bx models, crossing problem"											
2001-10-01 10:34:44.000	1	2001-10-01T10:30:00.000				IDK	Pretty Good		NTS	LATE TSYG	1 Hour	HIN	"Missing T01S, T96"	"missing outflow, missing Bx data, missing Bx models"											
2001-10-11 03:50:04.000	1	2001-10-11T04:30:00.000					Pretty Good		NTS	EARLY TSYG	30 Minutes	HIS	Missing T01S	"missing outflow, missing Bx models"											
2002-08-21 08:28:45.000	1	2002-08-21T08:30:00.000	about 5.5			YES			NTS	EARLY TSYG	1 Hour	HIN	Missing T01S	missing Bx models											
2002-09-09 05:56:29.000	1	2002-09-09T04:30:00.000	about 6.5	177.7			EXCELLENT		NTS	EARLY TSYG	30 Minutes	HIN	Missing T01S	"missing Bx models, crossing problem"											
2002-10-17 04:11:55.000	1	2002-10-17T04:00:00.000	about 3.7	178.1			EXCELLENT		NTS	EARLY TSYG	1 Hour	HIN	Good models	low outflow											
2002-10-19 09:27:06.000	1	2002-10-19T09:00:00.000	about 3.5				EXCELLENT		NTS	EARLY TSYG	1 Hour	HIS	Good models	missing outflow											
2002-10-24 05:07:14.000	1	2002-10-24T04:00:00.000	about 6	158.5		CHECK	EXCELLENT		NTS	COMMON CROSS	0	HIN	Good models	crossing problem											
